0
//Index   Group   Type   X      Y      Text
2	1	1	10	141	"Yeti"
2	1	1	66	131	"Elite Yeti"
2	1	1	87	150	"Elite Yeti"
2	1	1	102	168	"Elite Yeti"
2	1	1	114	197	"Elite Yeti"
2	1	1	112	230	"Elite Yeti"
2	1	1	238	193	"Elite Yeti"
2	1	1	198	180	"Elite Yeti"
2	1	1	189	154	"Elite Yeti"
2	1	1	218	155	"Elite Yeti"
2	1	1	197	210	"Elite Yeti"
2	1	1	198	241	"Hommerd"
2	1	1	207	117	"Hommerd"
2	1	1	238	129	"Hommerd"
2	1	1	175	108	"Hommerd"

// SPOTS Atlans
7	1	1	22	48	"Bahamut"
7	1	1	46	69	"Bahamut"
7	1	1	66	56	"Bahamut"
7	1	1	81	42	"Bahamut"
7	1	1	47	9	"Bahamut"
7	1	1	76	19	"Vepar"
7	1	1	25	77	"Vepar"
7	1	1	20	100	"Vepar"
7	1	1	18	120	"Vepar"
7	1	1	45	106	"Vepar"
7	1	1	67	86	"Valkyrie"
7	1	1	89	64	"Valkyrie"
7	1	1	109	44	"Valkyrie"
7	1	1	119	24	"Valkyrie"
7	1	1	143	16	"Valkyrie"
7	1	1	180	21	"Valkyrie"
7	1	1	237	19	"Great Bahamut"
7	1	1	192	50	"Great Bahamut"
7	1	1	154	64	"Great Bahamut"
7	1	1	130	66	"Great Bahamut"
7	1	1	108	99	"Great Bahamut"
7	1	1	81	122	"Great Bahamut"
7	1	1	227	77	"Great Bahamut"
7	1	1	223	127	"Great Bahamut"
7	1	1	227	154	"Great Bahamut"
7	1	1	223	175	"Lizard King"
7	1	1	210	189	"Lizard King"
7	1	1	229	204	"Lizard King"
7	1	1	181	98	"Silver Valkyrie"
7	1	1	157	117	"Silver Valkyrie"
7	1	1	122	144	"Silver Valkyrie"
7	1	1	93	145	"Silver Valkyrie"
7	1	1	35	164	"Silver Valkyrie"
7	1	1	65	183	"Silver Valkyrie"
7	1	1	113	181	"Silver Valkyrie"
7	1	1	146	168	"Silver Valkyrie"
7	1	1	168	145	"Silver Valkyrie"
7	1	1	176	177	"Lizard King"
7	1	1	145	202	"Lizard King"
7	1	1	119	208	"Lizard King"
7	1	1	74	216	"Lizard King"
7	1	1	46	223	"Lizard King"
7	1	1	24	230	"Lizard King"
// SPOTS LostTower
4	1	1	175	108	"Shadow"
4	1	1	194	107	"Shadow"
4	1	1	189	88	"Shadow"
4	1	1	209	113	"Shadow"
4	1	1	225	118	"Shadow"
4	1	1	194	130	"Shadow"
4	1	1	238	135	"Shadow"
4	1	1	194	39	"Poison Shadow"
4	1	1	203	26	"Poison Shadow"
4	1	1	227	23	"Shadow"
4	1	1	227	76	"Shadow"
4	1	1	223	110	"Shadow"
4	1	1	213	246	"Poison Shadow"
4	1	1	166	247	"Poison Shadow"
4	1	1	171	208	"Poison Shadow"
4	1	1	185	207	"Poison Shadow"
4	1	1	179	233	"Poison Shadow"
4	1	1	213	214	"Poison Shadow"
4	1	1	213	193	"Poison Shadow"
4	1	1	215	173	"Cursed Wizard"
4	1	1	245	167	"Cursed Wizard"
4	1	1	245	201	"Cursed Wizard"
4	1	1	236	212	"Cursed Wizard"
4	1	1	97	171	"Cursed Wizard"
4	1	1	83	193	"Cursed Wizard"
4	1	1	83	218	"Cursed Wizard"
4	1	1	83	246	"Cursed Wizard"
4	1	1	99	230	"Death cow"
4	1	1	100	187	"Death cow"
4	1	1	109	247	"Death cow"
4	1	1	120	225	"Death cow"
4	1	1	113	202	"Death cow"
4	1	1	125	186	"Death cow"
4	1	1	125	246	"Death cow"
4	1	1	85	112	"Death cow"
4	1	1	108	113	"Devil"
4	1	1	125	101	"Devil"
4	1	1	118	135	"Death cow"
4	1	1	104	136	"Death cow"
4	1	1	85	136	"Death cow"
4	1	1	128	41	"Death Knight"
4	1	1	128	125	"Death Knight"
4	1	1	111	9	"Death Knight"
4	1	1	86	26	"Death Knight"
4	1	1	85	55	"Death Knight"
4	1	1	103	57	"Death Knight"
4	1	1	111	41	"Death Knight"
4	1	1	54	26	"Death Knight"
4	1	1	55	8	"Death Knight"
4	1	1	23	10	"Death Knight"
4	1	1	7	16	"Death Knight"
4	1	1	14	49	"Death Knight"
4	1	1	30	41	"Death Knight"
4	1	1	53	91	"Death Knight"
4	1	1	26	108	"Death Gorgon"
4	1	1	6	99	"Death Gorgon"
4	1	1	53	119	"Death Gorgon"
4	1	1	16	128	"Death Gorgon"
4	1	1	29	137	"Death Gorgon"
4	1	1	52	135	"Death Gorgon"
4	1	1	30	170	"Death Gorgon"
4	1	1	52	176	"Death Gorgon"
4	1	1	9	203	"Death Gorgon"
4	1	1	54	208	"Death Gorgon"
4	1	1	55	238	"Death Gorgon"

// SPOTS Tarkan
8	1	1	147	38	"Mutant"
8	1	1	116	36	"Mutant"
8	1	1	134	73	"Mutant"
8	1	1	130	96	"Mutant"
8	1	1	155	102	"Mutant"
8	1	1	151	131	"Mutant"
8	1	1	152	153	"Mutant"
8	1	1	174	127	"Mutant"
8	1	1	196	110	"Mutant"
8	1	1	109	89	"Bloody Wolf"
8	1	1	100	62	"Bloody Wolf"
8	1	1	95	35	"Bloody Wolf"
8	1	1	70	62	"Bloody Wolf"
8	1	1	79	83	"Iron Wheel"
8	1	1	58	92	"Iron Wheel"
8	1	1	51	77	"Iron Wheel"
8	1	1	37	62	"Iron Wheel"
8	1	1	21	94	"Iron Wheel"
8	1	1	22	131	"Iron Wheel"
8	1	1	50	122	"Iron Wheel"
8	1	1	80	124	"Tantalos"
8	1	1	105	124	"Tantalos"
8	1	1	126	146	"Tantalos"
8	1	1	79	154	"Tantalos"
8	1	1	50	157	"Tantalos"
8	1	1	36	172	"Tantalos"
8	1	1	74	177	"Tantalos"
8	1	1	116	187	"Tantalos"
8	1	1	111	214	"Tantalos"
8	1	1	79	205	"Beam Knight"
8	1	1	30	212	"Beam Knight"
8	1	1	6	219	"Beam Knight"
8	1	1	9	242	"Beam Knight"
8	1	1	45	246	"Beam Knight"
8	1	1	28	232	"Beam Knight"
8	1	1	160	189	"Death Beam Knight"
8	1	1	177	211	"Death Beam Knight"
8	1	1	155	213	"Death Beam Knight"
// SPOTS Aida
33	1	1	114	17	"Death Tree"
33	1	1	137	20	"Death Tree"
33	1	1	156	15	"Death Tree"
33	1	1	176	17	"Death Tree"
33	1	1	192	18	"Death Tree"
33	1	1	226	13	"Death Tree"
33	1	1	191	35	"Forest Orc"
33	1	1	213	34	"Forest Orc"
33	1	1	156	47	"Forest Orc"
33	1	1	166	63	"Forest Orc"
33	1	1	168	82	"Forest Orc"
33	1	1	192	53	"Forest Orc"
33	1	1	234	37	"Death Rider"
33	1	1	227	63	"Death Rider"
33	1	1	206	71	"Death Rider"
33	1	1	200	108	"Death Rider"
33	1	1	184	95	"Death Rider"
33	1	1	236	91	"Death Rider"
33	1	1	225	113	"Blue Golem"
33	1	1	215	137	"Blue Golem"
33	1	1	233	148	"Blue Golem"
33	1	1	206	170	"Witch Queen"
33	1	1	164	165	"Witch Queen"
33	1	1	195	202	"Witch Queen"
33	1	1	157	230	"Bloody Orc"
33	1	1	154	192	"Bloody Orc"
33	1	1	130	226	"Bloody Orc"
33	1	1	122	199	"Bloody Orc"
33	1	1	93	204	"Bloody Orc"
33	1	1	82	227	"Bloody Death Rider"
33	1	1	68	207	"Bloody Death Rider"
33	1	1	41	224	"Bloody Death Rider"
33	1	1	33	207	"Bloody Death Rider"
33	1	1	25	186	"Bloody Golem"
33	1	1	51	159	"Bloody Golem"
33	1	1	89	117	"Bloody Golem"
33	1	1	86	89	"Bloody Golem"
33	1	1	88	61	"Bloody Golem"
33	1	1	108	47	"Bloody Golem"
33	1	1	115	68	"Bloody Witch Queen"
33	1	1	139	78	"Bloody Witch Queen"
33	1	1	150	94	"Bloody Witch Queen"
33	1	1	114	94	"Bloody Witch Queen"
33	1	1	27	135	"Bloody Witch Queen"
33	1	1	49	124	"Bloody Witch Queen"
33	1	1	113	149	"Hell Maine"
33	1	1	85	143	"Hell Maine"
33	1	1	98	169	"Hell Maine"
33	1	1	130	155	"Bloody Death Rider"
33	1	1	137	124	"Bloody Death Rider"
33	1	1	163	120	"Bloody Orc"
33	1	1	194	151	"Bloody Orc"
33	1	1	217	226	"Witch Queen"
33	1	1	238	234	"Witch Queen"
33	1	1	39	51	"Pewnie jakis Boss"
// SPOTS Kanturu
37	1	1	42	232	"Splinter Wolf"
37	1	1	73	234	"Splinter Wolf"
37	1	1	101	238	"Splinter Wolf"
37	1	1	152	238	"Splinter Wolf"
37	1	1	142	223	"Splinter Wolf"
37	1	1	157	198	"Splinter Wolf"
37	1	1	184	209	"Iron Rider"
37	1	1	199	183	"Iron Rider"
37	1	1	174	163	"Iron Rider"
37	1	1	196	154	"Iron Rider"
37	1	1	214	141	"Iron Rider"
37	1	1	236	135	"Satyros"
37	1	1	224	118	"Satyros"
37	1	1	235	96	"Satyros"
37	1	1	226	78	"Satyros"
37	1	1	228	60	"Satyros"
37	1	1	183	26	"Blade Hunter"
37	1	1	188	8	"Blade Hunter"
37	1	1	163	24	"Blade Hunter"
37	1	1	154	57	"Blade Hunter"
37	1	1	138	44	"Kentauros"
37	1	1	148	16	"Kentauros"
37	1	1	122	25	"Kentauros"
37	1	1	119	58	"Gigantis"
37	1	1	97	69	"Gigantis"
37	1	1	77	55	"Gigantis"
37	1	1	89	33	"Berserker"
37	1	1	59	34	"Berserker"
37	1	1	43	51	"Genocider"
37	1	1	40	73	"Genocider"
37	1	1	57	100	"Genocider"
37	1	1	59	155	"Berserker Warrior"
37	1	1	61	133	"Berserker Warrior"
37	1	1	101	156	"Kentauros Warrior"
37	1	1	91	123	"Kentauros Warrior"
37	1	1	113	100	"Gigantis Warrior"
37	1	1	131	119	"Gigantis Warrior"
37	1	1	139	155	"Gigantis Warrior"
37	1	1	171	112	"Genocider Warrior"
37	1	1	145	90	"Genocider Warrior"
//SPOT Kanturu_Remain
38	1	1	99	86	"Twin Tale"
38	1	1	124	78	"Twin Tale"
38	1	1	137	99	"Twin Tale"
38	1	1	155	103	"Persona"
38	1	1	180	91	"Persona"
38	1	1	173	113	"Persona"
38	1	1	196	127	"Dreadfear"
38	1	1	183	140	"Dreadfear"
38	1	1	150	147	"Dreadfear"
//SPOT Icarus
10	1	1	13	40	"Alquamos"
10	1	1	33	30	"Alquamos"
10	1	1	53	40	"Alquamos"
10	1	1	73	30	"Mega Crust"
10	1	1	90	50	"Mega Crust"
10	1	1	90	70	"Queen Rainier"
10	1	1	70	80	"Queen Rainier"
10	1	1	50	70	"Queen Rainier"
10	1	1	29	68	"Drakan"
10	1	1	35	93	"Drakan"
