12:31:23 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
13:48:02 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
13:48:07 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
13:48:13 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:06:38 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:06:46 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:06:58 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:08:39 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:08:55 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:09:05 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:09:14 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:09:25 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:09:36 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:09:40 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:09:44 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:11:22 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:11:30 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:11:36 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:11:49 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 4, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:11:54 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 3, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:11:59 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 2, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:12:02 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 1, Skill: 1, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:12:09 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 2, Skill: 1, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:12:13 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 2, Skill: 1, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:14:33 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:42:19 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:42:26 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
14:47:27 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:47:54 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:48:07 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:50:12 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:56:39 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:56:46 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:56:49 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
14:56:52 [CommandMake][admin][ZUCKER] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:13:18 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
15:13:29 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
15:13:33 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
15:13:38 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
15:13:41 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
15:13:44 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
15:52:07 [CommandTrace][osaq][OsAq] - (Name: ZUCKER)
15:52:41 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:52:50 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:52:58 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:53:43 [CommandTrace][osaq][OsAq] - (Name: Grun)
15:58:10 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:19:40 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 49, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
16:19:54 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 40, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
16:20:06 [CommandTrace][admin][ZUCKER] - (Name: Grun)
16:21:17 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 35, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:21:34 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 30, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
16:22:38 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 262, Level: 0, Skill: 0, Luck: 63, Option: 0, Exc: 0, Set: 0,count:1)
16:25:38 [CommandMake][grun][Grun] - (Section: 12, Type: 2, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:26:06 [CommandMake][grun][Grun] - (Section: 12, Type: 2, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:26:41 [CommandMake][grun][Grun] - (Section: 12, Type: 3, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:27:06 [CommandMake][grun][Grun] - (Section: 12, Type: 4, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:27:36 [CommandMake][grun][Grun] - (Section: 12, Type: 10, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:28:38 [CommandMake][grun][Grun] - (Section: 12, Type: 7, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:31:03 [CommandMake][grun][Grun] - (Section: 11, Type: 1, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:51:14 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:51:21 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
16:51:31 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:31:57 [CommandMake][admin][ZUCKER] - (Section: 12, Type: 71, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:36:36 [CommandMake][admin][ZUCKER] - (Section: 7, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:40:04 [CommandMake][admin][ZUCKER] - (Section: 8, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:40:27 [CommandMake][admin][ZUCKER] - (Section: 8, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:40:31 [CommandMake][admin][ZUCKER] - (Section: 8, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:41:17 [CommandMake][admin][ZUCKER] - (Section: 8, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:41:21 [CommandMake][admin][ZUCKER] - (Section: 8, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:41:43 [CommandMake][admin][ZUCKER] - (Section: 8, Type: 19, Level: 10, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
23:11:16 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 3, X: 179, Y: 126)
23:23:18 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 3, X: 155, Y: 59)
23:23:32 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 3, X: 148, Y: 75)
