11:40:23 [CommandPost][osaq][OsAq] - (Message: siema)
11:40:33 [CommandTrace][osaq][OsAq] - (Name: ZUCKER)
11:41:55 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:00 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:03 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:07 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:19 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:23 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:26 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:48:29 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 12, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:49:26 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:49:42 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 0, Skill: 4, Luck: 4, Option: 4, Exc: 0, Set: 0,count:1)
11:49:53 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 0, Skill: 29, Luck: 24, Option: 20, Exc: 0, Set: 0,count:1)
11:50:05 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 7, Skill: 29, Luck: 24, Option: 20, Exc: 0, Set: 0,count:1)
11:50:33 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 7, Skill: 29, Luck: 24, Option: 20, Exc: 0, Set: 0,count:1)
11:50:39 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 9, Skill: 29, Luck: 24, Option: 20, Exc: 0, Set: 0,count:1)
11:50:49 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 9, Skill: 6, Luck: 6, Option: 6, Exc: 0, Set: 0,count:1)
11:50:55 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 9, Skill: 6, Luck: 6, Option: 36, Exc: 0, Set: 0,count:1)
11:50:59 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 9, Skill: 6, Luck: 6, Option: 12, Exc: 0, Set: 0,count:1)
11:51:37 [CommandMake][osaq][OsAq] - (Section: 12, Type: 4, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:52:39 [CommandMake][osaq][OsAq] - (Section: 14, Type: 57, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:52:50 [CommandMake][osaq][OsAq] - (Section: 14, Type: 57, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:52:55 [CommandMake][osaq][OsAq] - (Section: 14, Type: 57, Level: 0, Skill: 2, Luck: 2, Option: 2, Exc: 0, Set: 0,count:1)
11:53:24 [CommandMake][osaq][OsAq] - (Section: 14, Type: 55, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:53:50 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:53:56 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:53:59 [CommandMake][osaq][OsAq] - (Section: 14, Type: 11, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:54:28 [CommandMake][osaq][OsAq] - (Section: 13, Type: 3, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:55:31 [CommandMake][osaq][OsAq] - (Section: 7, Type: 38, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:55:54 [CommandMake][osaq][OsAq] - (Section: 2, Type: 24, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:56:12 [CommandMake][osaq][OsAq] - (Section: 8, Type: 24, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:56:19 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:56:27 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:56:33 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:56:38 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 0, Exc: 0, Set: 0,count:1)
11:56:43 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 0, Set: 0,count:1)
11:56:49 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 3, Set: 0,count:1)
11:56:55 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 8, Set: 0,count:1)
11:57:00 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 5, Set: 0,count:1)
11:57:04 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 6, Set: 0,count:1)
11:57:08 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 6, Set: 5,count:1)
11:57:12 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 1, Set: 1,count:1)
11:57:16 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 1, Set: 2,count:1)
11:57:20 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 1, Set: 3,count:1)
11:57:27 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 3, Exc: 1, Set: 0,count:1)
11:57:33 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 1, Option: 0, Exc: 0, Set: 0,count:1)
11:57:40 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 13, Option: 0, Exc: 0, Set: 0,count:1)
11:57:46 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 1, Luck: 6, Option: 0, Exc: 0, Set: 0,count:1)
11:59:02 [CommandClearInvent][OsAq] - (ClearInvent)
11:59:12 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:59:20 [CommandMake][osaq][OsAq] - (Section: 4, Type: 34, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:59:25 [CommandMake][osaq][OsAq] - (Section: 4, Type: 34, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:59:32 [CommandMake][osaq][OsAq] - (Section: 4, Type: 1, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:59:38 [CommandMake][osaq][OsAq] - (Section: 4, Type: 2, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:00:12 [CommandMake][osaq][OsAq] - (Section: 7, Type: 45, Level: 15, Skill: 1, Luck: 7, Option: 63, Exc: 0, Set: 0,count:1)
12:00:32 [CommandMake][osaq][OsAq] - (Section: 7, Type: 45, Level: 15, Skill: 1, Luck: 7, Option: 55, Exc: 0, Set: 0,count:1)
12:01:03 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:01:08 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:01:11 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:01:15 [CommandMake][osaq][OsAq] - (Section: 4, Type: 24, Level: 15, Skill: 63, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:01:44 [CommandMake][osaq][OsAq] - (Section: 7, Type: 5, Level: 0, Skill: 0, Luck: 0, Option: 63, Exc: 0, Set: 0,count:1)
12:01:58 [CommandClearInvent][OsAq] - (ClearInvent)
12:02:42 [CommandMake][osaq][OsAq] - (Section: 7, Type: 5, Level: 0, Skill: 1, Luck: 7, Option: 63, Exc: 0, Set: 0,count:1)
12:02:46 [CommandMake][osaq][OsAq] - (Section: 7, Type: 5, Level: 0, Skill: 1, Luck: 7, Option: 22, Exc: 0, Set: 0,count:1)
12:02:53 [CommandMake][osaq][OsAq] - (Section: 7, Type: 5, Level: 15, Skill: 1, Luck: 7, Option: 22, Exc: 0, Set: 0,count:1)
12:04:48 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:04:56 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:05:02 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:05:05 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 0, Exc: 0, Set: 0,count:1)
12:05:11 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 0, Set: 0,count:1)
12:05:16 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 23, Set: 0,count:1)
12:05:23 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 0, Set: 61,count:1)
12:05:28 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 0, Set: 50,count:1)
12:05:32 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 0, Set: 25,count:1)
12:05:37 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 0, Set: 0,count:1)
12:05:42 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 54, Set: 0,count:1)
12:05:50 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 55, Set: 0,count:1)
12:05:54 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 56, Set: 0,count:1)
12:05:59 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 57, Set: 0,count:1)
12:06:05 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 58, Set: 0,count:1)
12:06:10 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 59, Set: 0,count:1)
12:06:15 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 60, Set: 0,count:1)
12:06:20 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 61, Set: 0,count:1)
12:06:28 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 62, Set: 0,count:1)
12:06:34 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 63, Set: 0,count:1)
12:06:41 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 64, Set: 0,count:1)
12:06:49 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 14, Skill: 1, Luck: 1, Option: 23, Exc: 63, Set: 0,count:1)
12:06:57 [CommandMake][osaq][OsAq] - (Section: 6, Type: 13, Level: 15, Skill: 1, Luck: 1, Option: 23, Exc: 63, Set: 0,count:1)
12:07:11 [CommandClearInvent][OsAq] - (ClearInvent)
12:07:49 [CommandMake][osaq][OsAq] - (Section: 12, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:08:09 [CommandMake][osaq][OsAq] - (Section: 12, Type: 37, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:08:35 [CommandMake][osaq][OsAq] - (Section: 5, Type: 10, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:08:45 [CommandMake][osaq][OsAq] - (Section: 5, Type: 10, Level: 0, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:09:52 [CommandMake][osaq][OsAq] - (Section: 13, Type: 10, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:11:13 [CommandMake][osaq][OsAq] - (Section: 14, Type: 66, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:12:21 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:12:46 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 37, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:13:00 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 37, Level: 4, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:13:29 [CommandMake][osaq][OsAq] - (Section: 13, Type: 37, Level: 2, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:13:57 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 37, Level: 0, Skill: 4, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:14:07 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 37, Level: 0, Skill: 4, Luck: 5, Option: 0, Exc: 0, Set: 0,count:1)
12:14:22 [CommandMake][osaq][OsAq] - (Section: 13, Type: 37, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:14:53 [CommandMake][osaq][OsAq] - (Section: 13, Type: 20, Level: 3, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:14:59 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 37, Level: 4, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:18:01 [CommandMake][osaq][OsAq] - (Section: 2, Type: 13, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:18:08 [CommandMake][osaq][OsAq] - (Section: 2, Type: 13, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:18:20 [CommandPost][osaq][OsAq] - (Message: wiesz jak sie do ciebie teleportnac ?)
12:18:24 [CommandTrace][osaq][OsAq] - (Name: ZUCKER)
12:19:11 [CommandMake][osaq][OsAq] - (Section: 2, Type: 13, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:20:04 [CommandMake][osaq][OsAq] - (Section: 7, Type: 33, Level: 0, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:20:13 [CommandMake][osaq][OsAq] - (Section: 7, Type: 33, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:20:21 [CommandClearInvent][OsAq] - (ClearInvent)
12:20:33 [CommandMake][osaq][OsAq] - (Section: 8, Type: 33, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:20:39 [CommandMake][osaq][OsAq] - (Section: 9, Type: 33, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:20:46 [CommandMake][osaq][OsAq] - (Section: 10, Type: 33, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:20:50 [CommandMake][osaq][OsAq] - (Section: 11, Type: 33, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:21:37 [CommandMake][osaq][OsAq] - (Section: 12, Type: 40, Level: 15, Skill: 1, Luck: 1, Option: 1, Exc: 63, Set: 0,count:1)
12:21:59 [CommandMake][osaq][OsAq] - (Section: 12, Type: 35, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:22:19 [CommandMake][osaq][OsAq] - (Section: 12, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
12:29:16 [CommandMake][osaq][OsAq] - (Section: 14, Type: 5, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
13:09:06 [CommandMake][admin][ZUCKER] - (Section: 13, Type: 37, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 4, Set: 0,count:1)
15:17:28 [CommandMake][osaq][OsAq] - (Section: 2, Type: 45, Level: 3, Skill: 4, Luck: 4, Option: 4, Exc: 0, Set: 0,count:1)
15:17:41 [CommandMake][osaq][OsAq] - (Section: 4, Type: 45, Level: 3, Skill: 4, Luck: 4, Option: 4, Exc: 0, Set: 0,count:1)
15:18:15 [CommandMake][osaq][OsAq] - (Section: 13, Type: 45, Level: 3, Skill: 4, Luck: 4, Option: 4, Exc: 0, Set: 0,count:1)
15:18:23 [CommandMake][osaq][OsAq] - (Section: 13, Type: 45, Level: 3, Skill: 4, Luck: 4, Option: 4, Exc: 0, Set: 0,count:1)
15:18:32 [CommandMake][osaq][OsAq] - (Section: 15, Type: 45, Level: 3, Skill: 4, Luck: 4, Option: 4, Exc: 0, Set: 0,count:1)
15:19:19 [CommandMake][osaq][OsAq] - (Section: 16, Type: 26, Level: 727, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:19:29 [CommandMake][osaq][OsAq] - (Section: 16, Type: 26, Level: 727, Skill: 1, Luck: 1, Option: 1, Exc: 36, Set: 0,count:1)
15:21:31 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:22:34 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:22:40 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:22:45 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:22:52 [CommandMake][osaq][OsAq] - (Section: 0, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:23:55 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:24:01 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:24:08 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:24:12 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:24:16 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
15:24:59 [CommandTrace][osaq][OsAq] - (Name: ZUCKER)
17:55:51 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 91, X: 7, Y: 0)
17:56:07 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 246, X: 188, Y: 0)
17:56:14 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 91, X: 246, Y: 188)
17:56:19 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 91, X: 246, Y: 188)
17:56:49 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 91, X: 240, Y: 188)
17:56:58 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 91, X: 230, Y: 188)
17:57:08 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 91, X: 234, Y: 83)
22:19:55 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 110, X: 153, Y: 192)
22:20:04 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 111, X: 153, Y: 192)
22:20:15 [CommandGMMove][admin][ZUCKER] - (Name: ZUCKER, Map: 109, X: 153, Y: 192)
